Id,Learning Method,Model,Accuracy,F1-Score,Hamming Loss
indobert-base-1,supervised,indobert,0.8635394456289979,0.9034907597535935,0.013361762615493959
indosteven-base-1,supervised,indosteven,0.8486140724946695,0.8974619289340102,0.014356787491115849
indobert-base-2,supervised,indobert,0.8592750533049041,0.9031600407747197,0.013503909026297086
indosteven-base-2,supervised,indosteven,0.8614072494669509,0.9051987767584099,0.013219616204690832
indobert-base-3,supervised,indobert,0.8763326226012793,0.906832298136646,0.01279317697228145
indosteven-base-3,supervised,indosteven,0.8784648187633263,0.9053497942386831,0.013077469793887705
indolem-base-1,supervised,indolem,0.8656716417910447,0.893704850361197,0.014641080312722104
xlmr-base-1,supervised,xlmr,0.7761194029850746,0.7851851851851852,0.028855721393034824
indobert-large-1,supervised,indobert,0.8656716417910447,0.9066666666666667,0.012935323383084577
bertm-base-1,supervised,bertm,0.8400852878464818,0.8729508196721311,0.017626154939587774
xlmr-large-1,supervised,xlmr,0.8763326226012793,0.9153924566768603,0.01179815209665956
indobert-base-4,supervised,indobert,0.8742004264392325,0.903688524590164,0.013361762615493959
indobert-large-2,supervised,indobert,0.8592750533049041,0.9063136456211813,0.013077469793887705
xlmr-base-2,supervised,xlmr,0.464818763326226,0.4724576271186441,0.07078891257995736
indobert-base-5,supervised,indobert,0.8699360341151386,0.8918918918918918,0.014783226723525231
indobert-large-3,supervised,indobert,0.8635394456289979,0.9051987767584099,0.013219616204690832
xlmr-base-3,supervised,xlmr,0.6567164179104478,0.6666666666666667,0.0449182658137882
indobert-large-4,supervised,indobert,0.8614072494669509,0.909090909090909,0.01279317697228145
xlmr-base-4,supervised,xlmr,0.837953091684435,0.8489968321013729,0.02032693674484719
indobert-large-5,supervised,indobert,0.8912579957356077,0.9202072538860104,0.010945273631840797
xlmr-base-5,supervised,xlmr,0.8294243070362474,0.8347457627118644,0.022174840085287847
xlmr-large-2,supervised,xlmr,0.8763326226012793,0.9153924566768603,0.01179815209665956
daptE2-1,unsupervised,dapt,0.5671641791044776,0.5699152542372882,0.05771144278606965
daptE1-1,unsupervised,dapt,0.8592750533049041,0.9009193054136875,0.013788201847903341
daptE2-2,unsupervised,dapt,0.8763326226012793,0.9205702647657841,0.011087420042643924
daptE1-2,unsupervised,dapt,0.837953091684435,0.8948948948948948,0.014925373134328358
xlmr-large-5,supervised,xlmr,0.8635394456289979,0.9055837563451777,0.013219616204690832
daptE2-3,unsupervised,dapt,0.8742004264392325,0.9122448979591837,0.01222459132906894
daptE1-3,unsupervised,dapt,0.8891257995735607,0.9227600411946447,0.010660980810234541
daptE2-4,unsupervised,dapt,0.8997867803837953,0.9256198347107437,0.01023454157782516
